00501,Holtsville,New York,NY,Suffolk,40.8154,-73.0451
01001,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227
01002,Amherst,Massachusetts,MA,Hampshire,42.3671,-72.4646
01010,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885
01011,Chester,Massachusetts,MA,Hampden,42.2794,-72.9888
01074,South Barre,Massachusetts,MA,Worcester,42.3854,-72.0954
01220,Adams,Massachusetts,MA,Berkshire,42.6223,-73.1172
01222,Ashley Falls,Massachusetts,MA,Berkshire,42.0596,-73.3202
01254,Richmond,Massachusetts,MA,Berkshire,42.3784,-73.3645
01337,Bernardston,Massachusetts,MA,Franklin,42.6952,-72.5772
01368,Royalston,Massachusetts,MA,Worcester,42.6722,-72.1964
01420,Fitchburg,Massachusetts,MA,Worcester,42.5796,-71.8031
01504,Blackstone,Massachusetts,MA,Worcester,42.0287,-71.5269
01532,Northborough,Massachusetts,MA,Worcester,42.3182,-71.6464
01730,Bedford,Massachusetts,MA,Middlesex,42.4843,-71.2768
01830,Haverhill,Massachusetts,MA,Essex,42.7856,-71.0721
01907,Swampscott,Massachusetts,MA,Essex,42.4746,-70.9098
01966,Rockport,Massachusetts,MA,Essex,42.658,-70.6194
02018,Accord,Massachusetts,MA,Plymouth,42.1745,-70.8837
02330,Carver,Massachusetts,MA,Plymouth,41.8883,-70.7678
02535,Chilmark,Massachusetts,MA,Dukes,41.3575,-70.7416
02536,East Falmouth,Massachusetts,MA,Barnstable,41.5968,-70.5671
02554,Nantucket,Massachusetts,MA,Nantucket,41.2725,-70.0932
02631,Brewster,Massachusetts,MA,Barnstable,41.7492,-70.0699
02652,North Truro,Massachusetts,MA,Barnstable,42.0338,-70.0875
02715,Dighton,Massachusetts,MA,Bristol,41.8125,-71.1427
02748,South Dartmouth,Massachusetts,MA,Bristol,41.5665,-70.9843
02804,Ashaway,Rhode Island,RI,Washington,41.4231,-71.7837
02807,Block Island,Rhode Island,RI,Washington,41.1715,-71.5748
02815,Clayville,Rhode Island,RI,Providence,41.7778,-71.6706
02835,Jamestown,Rhode Island,RI,Newport,41.5164,-71.3761
03031,Amherst,New Hampshire,NH,Hillsborough,42.8569,-71.6075
03034,Candia,New Hampshire,NH,Rockingham,43.0585,-71.3049
03215,Waterville Valley,New Hampshire,NH,Grafton,43.9501,-71.4995
03216,Andover,New Hampshire,NH,Merrimack,43.4287,-71.783
03218,Barnstead,New Hampshire,NH,Belknap,43.3349,-71.2887
03238,Glencliff,New Hampshire,NH,Grafton,43.9828,-71.8934
03244,Hillsborough,New Hampshire,NH,Hillsborough,43.1141,-71.8992
03247,Laconia,New Hampshire,NH,Belknap,43.589,-71.4455
03431,Keene,New Hampshire,NH,Cheshire,42.9627,-72.2955
03561,Littleton,New Hampshire,NH,Grafton,44.3112,-71.7768
03570,Berlin,New Hampshire,NH,Coos,44.4811,-71.1892
03576,Colebrook,New Hampshire,NH,Coos,44.9078,-71.4793
03603,Charlestown,New Hampshire,NH,Sullivan,43.2573,-72.4064
03741,Canaan,New Hampshire,NH,Grafton,43.6601,-72.0297
03801,Portsmouth,New Hampshire,NH,Rockingham,43.0729,-70.8052
03813,Center Conway,New Hampshire,NH,Carroll,43.9878,-71.0607
03830,East Wakefield,New Hampshire,NH,Carroll,43.6142,-71.0051
04003,Bailey Island,Maine,ME,Cumberland,43.7341,-69.9952
04004,Bar Mills,Maine,ME,York,43.6131,-70.5498
04008,Bowdoinham,Maine,ME,Sagadahoc,44.0101,-69.8984
04015,Casco,Maine,ME,Cumberland,43.9596,-70.526
04088,Waterford,Maine,ME,Oxford,44.1931,-70.7163
04090,Wells,Maine,ME,York,43.3144,-70.5969
04211,Auburn,Maine,ME,Androscoggin,44.197,-70.2395
04216,Andover,Maine,ME,Oxford,44.6637,-70.7967
04224,Dixfield,Maine,ME,Oxford,44.5548,-70.4241
04330,Augusta,Maine,ME,Kennebec,44.3232,-69.7665
04360,Vienna,Maine,ME,Kennebec,44.5475,-70.003
04401,Bangor,Maine,ME,Penobscot,44.8242,-68.7918
04406,Abbot,Maine,ME,Piscataquis,45.2345,-69.5699
04408,Aurora,Maine,ME,Hancock,44.8861,-68.2959
04410,Bradford,Maine,ME,Penobscot,45.0855,-68.9235
04413,Brookton,Maine,ME,Washington,45.5507,-67.7436
04415,Brownville Junction,Maine,ME,Piscataquis,45.3512,-69.0581
04417,Burlington,Maine,ME,Penobscot,45.2349,-68.379
04420,Castine,Maine,ME,Hancock,44.413,-68.798
04430,East Millinocket,Maine,ME,Penobscot,45.63,-68.5728
04471,Orient,Maine,ME,Aroostook,45.8911,-67.8471
04478,Rockwood,Maine,ME,Somerset,45.8641,-69.8768
04497,Wytopitlock,Maine,ME,Aroostook,45.6645,-68.1055
04539,Bristol,Maine,ME,Lincoln,43.9519,-69.4954
04574,Washington,Maine,ME,Knox,44.2693,-69.3842
04605,Ellsworth,Maine,ME,Hancock,44.5548,-68.4121
04606,Addison,Maine,ME,Washington,44.583,-67.7146
04612,Bernard,Maine,ME,Hancock,44.2415,-68.358
04613,Birch Harbor,Maine,ME,Hancock,44.3842,-68.0317
04619,Calais,Maine,ME,Washington,45.1715,-67.2641
04626,Cutler,Maine,ME,Washington,44.6753,-67.2499
04631,Eastport,Maine,ME,Washington,44.92,-67.0074
04637,Grand Lake Stream,Maine,ME,Washington,45.1795,-67.7744
04732,Ashland,Maine,ME,Aroostook,46.6184,-68.3876
04734,Blaine,Maine,ME,Aroostook,46.5048,-67.8686
04736,Caribou,Maine,ME,Aroostook,46.8706,-68.0204
04737,Clayton Lake,Maine,ME,Aroostook,46.6109,-69.5223
04739,Eagle Lake,Maine,ME,Aroostook,47.01,-68.691
04741,Estcourt Station,Maine,ME,Aroostook,47.4589,-69.2243
04745,Frenchville,Maine,ME,Aroostook,47.2826,-68.3917
04747,Island Falls,Maine,ME,Aroostook,46.0169,-68.2667
04785,Van Buren,Maine,ME,Aroostook,47.1589,-67.9459
04851,Matinicus,Maine,ME,Knox,43.8651,-68.887
04853,North Haven,Maine,ME,Knox,44.1436,-68.8667
04910,Albion,Maine,ME,Kennebec,44.5355,-69.4683
04912,Athens,Maine,ME,Somerset,44.9388,-69.6695
04928,Corinna,Maine,ME,Penobscot,44.926,-69.2323
04936,Eustis,Maine,ME,Franklin,45.3356,-70.6283
04945,Jackman,Maine,ME,Somerset,45.6351,-70.2492
04947,Kingfield,Maine,ME,Franklin,44.9854,-70.1832
04964,Oquossoc,Maine,ME,Franklin,44.9664,-70.7737
04985,West Forks,Maine,ME,Somerset,45.3839,-69.9841
05031,Barnard,Vermont,VT,Windsor,43.7287,-72.619
05036,Brookfield,Vermont,VT,Orange,44.0321,-72.5953
05046,Groton,Vermont,VT,Caledonia,44.2204,-72.2175
05058,Post Mills,Vermont,VT,Orange,43.8858,-72.27
05148,Londonderry,Vermont,VT,Windham,43.2281,-72.788
05250,Arlington,Vermont,VT,Bennington,43.0857,-73.1594
05341,East Dover,Vermont,VT,Windham,42.9505,-72.783
05401,Burlington,Vermont,VT,Chittenden,44.484,-73.2199
05441,Bakersfield,Vermont,VT,Franklin,44.7914,-72.7697
05443,Bristol,Vermont,VT,Addison,44.146,-73.0717
05460,Highgate Springs,Vermont,VT,Franklin,44.9748,-73.1052
05662,Moscow,Vermont,VT,Lamoille,44.442,-72.7188
05701,Rutland,Vermont,VT,Rutland,43.6141,-72.9708
05734,Bridport,Vermont,VT,Addison,43.9538,-73.3476
05761,Pawlet,Vermont,VT,Rutland,43.3587,-73.1444
05820,Albany,Vermont,VT,Orleans,44.7417,-72.3646
05823,Beebe Plain,Vermont,VT,Orleans,45.0058,-72.1383
05832,East Burke,Vermont,VT,Caledonia,44.6078,-71.9357
06001,Avon,Connecticut,CT,Hartford,41.7905,-72.8653
06043,Bolton,Connecticut,CT,Tolland,41.7689,-72.4396
06230,Abington,Connecticut,CT,Windham,41.8473,-72.0253
06333,East Lyme,Connecticut,CT,New London,41.3668,-72.233
06401,Ansonia,Connecticut,CT,New Haven,41.3427,-73.0742
06422,Durham,Connecticut,CT,Middlesex,41.465,-72.6875
06750,Bantam,Connecticut,CT,Litchfield,41.7215,-73.252
06804,Brookfield,Connecticut,CT,Fairfield,41.465,-73.398
06807,Cos Cob,Connecticut,CT,Fairfield,41.053,-73.5935
07001,Avenel,New Jersey,NJ,Middlesex,40.5826,-74.2785
07004,Fairfield,New Jersey,NJ,Essex,40.8822,-74.296
07416,Franklin,New Jersey,NJ,Sussex,41.1164,-74.5865
07620,Alpine,New Jersey,NJ,Bergen,40.9511,-73.9308
07701,Red Bank,New Jersey,NJ,Monmouth,40.3584,-74.0681
07820,Allamuchy,New Jersey,NJ,Warren,40.8696,-74.8497
07978,Pluckemin,New Jersey,NJ,Somerset,40.6425,-74.6396
08001,Alloway,New Jersey,NJ,Salem,39.5591,-75.3506
08002,Cherry Hill,New Jersey,NJ,Camden,39.9308,-75.0175
08005,Barnegat,New Jersey,NJ,Ocean,39.7552,-74.247
08015,Browns Mills,New Jersey,NJ,Burlington,39.9597,-74.5655
08037,Hammonton,New Jersey,NJ,Atlantic,39.638,-74.7728
08201,Absecon,New Jersey,NJ,Atlantic,39.4218,-74.4949
08202,Avalon,New Jersey,NJ,Cape May,39.0951,-74.7262
08315,Dividing Creek,New Jersey,NJ,Cumberland,39.2732,-75.095
08512,Cranbury,New Jersey,NJ,Middlesex,40.3039,-74.5065
08530,Lambertville,New Jersey,NJ,Hunterdon,40.3731,-74.9266
08701,Lakewood,New Jersey,NJ,Ocean,40.085,-74.2042
08804,Bloomsbury,New Jersey,NJ,Hunterdon,40.6437,-75.0966
10501,Amawalk,New York,NY,Westchester,41.2946,-73.7611
10910,Arden,New York,NY,Orange,41.3862,-74.1257
10932,Howells,New York,NY,Orange,41.4852,-74.4842
11001,Floral Park,New York,NY,Nassau,40.7236,-73.7058
11901,Riverhead,New York,NY,Suffolk,40.9262,-72.652
11930,Amagansett,New York,NY,Suffolk,40.9895,-72.0959
12007,Alcove,New York,NY,Albany,42.4561,-73.9277
12008,Alplaus,New York,NY,Schenectady,42.8573,-73.9002
12016,Auriesville,New York,NY,Montgomery,42.9295,-74.3165
12018,Averill Park,New York,NY,Rensselaer,42.6365,-73.5504
12032,Caroga Lake,New York,NY,Fulton,43.1922,-74.5169
12036,Charlotteville,New York,NY,Schoharie,42.533,-74.6819
12073,Gallupville,New York,NY,Schoharie,42.6626,-74.2326
12108,Lake Pleasant,New York,NY,Hamilton,43.6676,-74.4569
12401,Kingston,New York,NY,Ulster,41.9697,-74.0668
